log_id,complaint_id,staff_id,old_status,new_status,note,changed_at
36,22,6,In Progress,Resolved,,2026-03-18 07:08:54
37,23,6,Received,In Progress,"Work in progress, estimated 24hrs",2025-12-14 01:13:46
38,23,17,In Progress,Resolved,,2025-12-14 11:13:46
39,24,20,Received,In Progress,"Work in progress, estimated 24hrs",2026-02-22 04:07:24
40,25,11,Received,In Progress,"Work in progress, estimated 24hrs",2025-11-13 08:22:03
41,25,6,In Progress,Resolved,,2025-11-13 20:22:03
42,25,15,Resolved,Closed,"Work in progress, estimated 24hrs",2025-11-14 17:22:03
43,26,16,Received,In Progress,Issue resolved and verified by supervisor,2026-01-27 05:19:54
44,27,19,Received,In Progress,Issue resolved and verified by supervisor,2026-03-15 14:41:34
45,27,10,In Progress,Resolved,Issue resolved and verified by supervisor,2026-03-16 01:41:34
46,27,20,Resolved,Closed,"Work in progress, estimated 24hrs",2026-03-17 00:41:34
47,28,13,Received,In Progress,,2025-09-07 16:02:59
48,28,18,In Progress,Resolved,Issue reviewed and assigned to field team,2025-09-07 19:02:59
49,29,10,Received,In Progress,Complaint closed after resolution confirmation,2026-02-02 22:48:47
50,29,15,In Progress,Resolved,Issue reviewed and assigned to field team,2026-02-03 08:48:47
51,30,15,Received,In Progress,Escalated to senior staff,2025-09-15 01:36:13
52,30,14,In Progress,Resolved,Issue resolved and verified by supervisor,2025-09-15 11:36:13
53,32,18,Received,In Progress,Field team dispatched to location,2026-01-25 09:46:19
54,33,19,Received,In Progress,"Work in progress, estimated 24hrs",2025-10-02 15:02:18
55,33,6,In Progress,Resolved,Escalated to senior staff,2025-10-03 06:02:18
56,34,18,Received,In Progress,"Work in progress, estimated 24hrs",2026-02-26 23:30:27
57,35,6,Received,In Progress,Issue reviewed and assigned to field team,2026-02-20 10:13:11
58,35,17,In Progress,Resolved,"Work in progress, estimated 24hrs",2026-02-21 08:13:11
59,35,10,Resolved,Closed,Issue reviewed and assigned to field team,2026-02-22 01:13:11
60,36,19,Received,In Progress,Issue reviewed and assigned to field team,2025-11-17 13:50:13
61,36,7,In Progress,Resolved,Field team dispatched to location,2025-11-17 18:50:13
62,36,16,Resolved,Closed,"Work in progress, estimated 24hrs",2025-11-18 15:50:13
63,37,6,Received,In Progress,Complaint closed after resolution confirmation,2025-09-10 01:29:30
64,37,19,In Progress,Resolved,"Work in progress, estimated 24hrs",2025-09-10 06:29:30
65,37,19,Resolved,Closed,,2025-09-10 18:29:30
66,38,9,Received,In Progress,Complaint closed after resolution confirmation,2026-03-13 00:50:01
67,38,17,In Progress,Resolved,"Work in progress, estimated 24hrs",2026-03-13 12:50:01
68,39,13,Received,In Progress,Field team dispatched to location,2025-10-24 23:52:29
69,39,5,In Progress,Resolved,Escalated to senior staff,2025-10-25 03:52:29
70,41,20,Received,In Progress,Complaint closed after resolution confirmation,2026-01-21 08:02:21
71,42,8,Received,In Progress,"Work in progress, estimated 24hrs",2026-01-11 02:03:17
72,42,19,In Progress,Resolved,Field team dispatched to location,2026-01-11 11:03:17
73,44,14,Received,In Progress,Escalated to senior staff,2026-04-16 20:29:41
74,45,11,Received,In Progress,Issue reviewed and assigned to field team,2026-04-07 16:41:45
75,48,7,Received,In Progress,Issue resolved and verified by supervisor,2025-10-31 05:15:28
76,48,19,In Progress,Resolved,Issue reviewed and assigned to field team,2025-10-31 11:15:28
77,48,15,Resolved,Closed,Escalated to senior staff,2025-11-01 09:15:28
78,49,7,Received,In Progress,Complaint closed after resolution confirmation,2025-11-24 21:06:00
79,50,14,Received,In Progress,"Work in progress, estimated 24hrs",2025-09-25 06:22:03
80,51,10,Received,In Progress,,2026-04-21 03:48:13
81,51,12,In Progress,Resolved,Issue reviewed and assigned to field team,2026-04-21 15:48:13
82,51,9,Resolved,Closed,Field team dispatched to location,2026-04-21 22:48:13
83,53,5,Received,In Progress,"Work in progress, estimated 24hrs",2025-09-02 18:25:45
84,55,16,Received,In Progress,Issue resolved and verified by supervisor,2025-10-20 23:28:30
85,55,9,In Progress,Resolved,Complaint closed after resolution confirmation,2025-10-21 17:28:30
86,56,7,Received,In Progress,"Work in progress, estimated 24hrs",2026-02-23 15:59:45
87,58,20,Received,In Progress,Complaint closed after resolution confirmation,2025-09-30 01:58:59
88,58,18,In Progress,Resolved,,2025-09-30 15:58:59
89,58,7,Resolved,Closed,Field team dispatched to location,2025-10-01 10:58:59
90,59,7,Received,In Progress,Issue resolved and verified by supervisor,2026-01-27 09:17:10
91,59,16,In Progress,Resolved,Field team dispatched to location,2026-01-28 00:17:10
92,59,10,Resolved,Closed,,2026-01-28 18:17:10
93,60,18,Received,In Progress,Complaint closed after resolution confirmation,2025-11-23 17:09:36
94,61,8,Received,In Progress,Complaint closed after resolution confirmation,2025-12-31 11:09:42
95,63,14,Received,In Progress,Field team dispatched to location,2026-04-07 07:21:53
96,63,15,In Progress,Resolved,Escalated to senior staff,2026-04-07 13:21:53
97,64,16,Received,In Progress,Complaint closed after resolution confirmation,2025-12-22 00:54:01
98,64,7,In Progress,Resolved,"Work in progress, estimated 24hrs",2025-12-22 10:54:01
99,65,13,Received,In Progress,Field team dispatched to location,2026-01-15 06:17:56
100,65,14,In Progress,Resolved,Complaint closed after resolution confirmation,2026-01-16 03:17:56
101,66,7,Received,In Progress,Complaint closed after resolution confirmation,2026-04-28 00:55:02
102,66,10,In Progress,Resolved,Complaint closed after resolution confirmation,2026-04-28 21:55:02
103,67,9,Received,In Progress,Field team dispatched to location,2025-12-16 22:03:52
104,67,15,In Progress,Resolved,,2025-12-17 20:03:52
105,69,6,Received,In Progress,,2026-02-24 23:17:06
106,71,7,Received,In Progress,Issue reviewed and assigned to field team,2026-03-08 15:41:42
107,71,13,In Progress,Resolved,Escalated to senior staff,2026-03-09 12:41:42
108,72,18,Received,In Progress,Complaint closed after resolution confirmation,2026-04-19 15:24:42
109,73,5,Received,In Progress,Issue resolved and verified by supervisor,2025-11-20 06:21:41
110,74,14,Received,In Progress,Escalated to senior staff,2026-03-14 00:58:02
111,74,20,In Progress,Resolved,Field team dispatched to location,2026-03-14 10:58:02
112,75,17,Received,In Progress,"Work in progress, estimated 24hrs",2025-09-29 21:47:32
113,76,7,Received,In Progress,Escalated to senior staff,2026-04-13 05:27:51
114,77,10,Received,In Progress,Issue resolved and verified by supervisor,2025-11-06 19:58:26
115,77,20,In Progress,Resolved,Issue resolved and verified by supervisor,2025-11-07 09:58:26
116,78,15,Received,In Progress,Complaint closed after resolution confirmation,2026-02-03 19:27:46
117,79,15,Received,In Progress,,2025-09-30 20:54:26
118,81,15,Received,In Progress,Escalated to senior staff,2026-03-01 03:21:21
119,81,17,In Progress,Resolved,Field team dispatched to location,2026-03-01 15:21:21
120,82,8,Received,In Progress,"Work in progress, estimated 24hrs",2025-10-30 03:01:29
121,84,19,Received,In Progress,Issue reviewed and assigned to field team,2026-04-28 04:17:37
122,84,19,In Progress,Resolved,Field team dispatched to location,2026-04-28 13:17:37
123,85,8,Received,In Progress,Issue reviewed and assigned to field team,2025-11-13 07:31:08
124,86,17,Received,In Progress,,2025-10-04 04:00:16
125,88,18,Received,In Progress,Field team dispatched to location,2025-09-22 04:04:55
126,88,15,In Progress,Resolved,Complaint closed after resolution confirmation,2025-09-22 10:04:55
127,89,15,Received,In Progress,Field team dispatched to location,2026-04-24 01:34:43
128,89,20,In Progress,Resolved,Complaint closed after resolution confirmation,2026-04-24 07:34:43
129,89,20,Resolved,Closed,"Work in progress, estimated 24hrs",2026-04-24 22:34:43
130,90,5,Received,In Progress,Issue reviewed and assigned to field team,2025-10-21 17:54:59
131,90,19,In Progress,Resolved,Field team dispatched to location,2025-10-22 06:54:59
132,92,16,Received,In Progress,Issue reviewed and assigned to field team,2026-01-12 00:10:34
133,92,14,In Progress,Resolved,Issue resolved and verified by supervisor,2026-01-12 02:10:34
134,92,20,Resolved,Closed,"Work in progress, estimated 24hrs",2026-01-12 22:10:34
135,93,5,Received,In Progress,,2026-03-17 22:00:39
136,93,18,In Progress,Resolved,Field team dispatched to location,2026-03-18 02:00:39
137,95,16,Received,In Progress,,2025-09-18 08:14:34
138,96,16,Received,In Progress,Issue reviewed and assigned to field team,2025-12-01 10:03:55
139,97,6,Received,In Progress,Complaint closed after resolution confirmation,2026-02-19 15:39:55
140,99,11,Received,In Progress,"Work in progress, estimated 24hrs",2026-03-21 02:37:26
141,99,14,In Progress,Resolved,Issue reviewed and assigned to field team,2026-03-21 20:37:26
142,99,19,Resolved,Closed,,2026-03-22 09:37:26
143,100,13,Received,In Progress,,2025-10-07 08:49:56
144,100,8,In Progress,Resolved,Field team dispatched to location,2025-10-08 04:49:56
145,100,17,Resolved,Closed,"Work in progress, estimated 24hrs",2025-10-08 08:49:56
146,44,16,Received,In Progress,Re-assigned to available staff,2026-04-17 12:29:41
147,97,11,Received,In Progress,Re-assigned to available staff,2026-02-19 12:39:55
148,78,17,Received,In Progress,Re-assigned to available staff,2026-02-04 21:27:46
149,65,6,Received,In Progress,Re-assigned to available staff,2026-01-15 02:17:56
150,5,15,Received,In Progress,Re-assigned to available staff,2025-11-28 00:33:23
