complaint_id,token,citizen_id,category_id,dept_id,ward_no,description,photo_path,status,priority,sla_deadline,feedback_pending,filed_at,resolved_at
52,LGC-2026-00052,73,1,1,Ward-4,No water supply since 3 days,,Received,Normal,2026-04-06 05:35:27,0,2026-04-04 05:35:27,
53,LGC-2026-00053,19,3,2,Ward-13,Road cave-in near hospital,,In Progress,CRITICAL,2025-09-06 02:25:45,0,2025-09-02 02:25:45,
54,LGC-2026-00054,23,5,3,Ward-2,Street light broken for 2 weeks,uploads/complaint_54.jpg,Received,High,2025-10-23 04:29:42,0,2025-10-22 04:29:42,
55,LGC-2026-00055,23,3,2,Ward-5,Large pothole on main road,,Resolved,Normal,2025-10-24 05:28:30,1,2025-10-20 05:28:30,2025-10-20 23:59:15
56,LGC-2026-00056,66,7,4,Ward-10,Garbage not collected for 5 days,uploads/complaint_56.jpg,In Progress,CRITICAL,2026-02-25 12:59:45,0,2026-02-23 12:59:45,
57,LGC-2026-00057,67,7,4,Ward-5,Garbage dumped on street corner,,Received,Normal,2025-09-15 02:20:42,0,2025-09-13 02:20:42,
58,LGC-2026-00058,63,6,3,Ward-12,Low voltage issue for a month,uploads/complaint_58.jpg,Closed,Normal,2025-10-01 12:58:59,0,2025-09-29 12:58:59,2025-09-30 10:35:08
59,LGC-2026-00059,75,3,2,Ward-9,Speed bumps needed on school road,,Closed,Normal,2026-01-30 22:17:10,0,2026-01-26 22:17:10,2026-02-01 10:26:25
60,LGC-2026-00060,15,4,2,Ward-14,Illegally parked trucks blocking road,,In Progress,High,2025-11-28 12:09:36,0,2025-11-23 12:09:36,
61,LGC-2026-00061,52,7,4,Ward-7,Garbage not collected for 5 days,,In Progress,Normal,2026-01-02 09:09:42,0,2025-12-31 09:09:42,
62,LGC-2026-00062,61,2,1,Ward-2,Nali band ho gayi hai,,Received,Normal,2025-10-07 03:39:12,0,2025-10-04 03:39:12,
63,LGC-2026-00063,72,7,4,Ward-1,No sanitation worker seen this week,,Resolved,Normal,2026-04-09 02:21:53,1,2026-04-07 02:21:53,2026-04-09 14:11:35
64,LGC-2026-00064,55,6,3,Ward-14,Transformer blast in our area,,Resolved,Normal,2025-12-23 16:54:01,1,2025-12-21 16:54:01,2025-12-25 05:03:56
65,LGC-2026-00065,62,2,1,Ward-4,Nali band ho gayi hai,uploads/complaint_65.jpg,Resolved,Normal,2026-01-17 23:17:56,1,2026-01-14 23:17:56,2026-01-19 14:21:40
66,LGC-2026-00066,55,2,1,Ward-14,Open manhole near school,,Resolved,Normal,2026-04-30 06:55:02,1,2026-04-27 06:55:02,2026-04-30 23:36:30
67,LGC-2026-00067,35,7,4,Ward-1,Garbage truck hasn't visited in a week,,Resolved,Normal,2025-12-18 03:03:52,1,2025-12-16 03:03:52,2025-12-18 04:33:17
68,LGC-2026-00068,19,2,1,Ward-10,Sewage water entering homes,uploads/complaint_68.jpg,Received,Normal,2025-10-01 00:34:59,0,2025-09-28 00:34:59,
69,LGC-2026-00069,28,6,3,Ward-7,Low voltage issue for a month,,In Progress,Normal,2026-02-26 04:17:06,0,2026-02-24 04:17:06,
70,LGC-2026-00070,73,7,4,Ward-10,Garbage not collected for 5 days,uploads/complaint_70.jpg,Received,High,2025-09-23 10:20:59,0,2025-09-21 10:20:59,
71,LGC-2026-00071,57,1,1,Ward-11,Water shortage in our area,,Resolved,Normal,2026-03-10 14:41:42,1,2026-03-08 14:41:42,2026-03-09 22:05:22
72,LGC-2026-00072,56,1,1,Ward-2,Water tap not working for a week,uploads/complaint_72.jpg,In Progress,Normal,2026-04-21 08:24:42,0,2026-04-19 08:24:42,
73,LGC-2026-00073,77,3,2,Ward-1,Large pothole on main road,uploads/complaint_73.jpg,In Progress,Normal,2025-11-23 09:21:41,0,2025-11-19 09:21:41,
74,LGC-2026-00074,42,2,1,Ward-2,Nali band ho gayi hai,,Resolved,Normal,2026-03-16 03:58:02,1,2026-03-13 03:58:02,2026-03-15 11:20:20
75,LGC-2026-00075,72,2,1,Ward-14,Blocked drainage causing flooding,,In Progress,High,2025-10-01 23:47:32,0,2025-09-28 23:47:32,
76,LGC-2026-00076,10,4,2,Ward-14,Vendor blocking road access,,In Progress,Normal,2026-04-17 14:27:51,0,2026-04-12 14:27:51,
77,LGC-2026-00077,52,3,2,Ward-1,Speed bumps needed on school road,uploads/complaint_77.jpg,Resolved,Normal,2025-11-10 17:58:26,1,2025-11-06 17:58:26,2025-11-11 03:22:16
78,LGC-2026-00078,32,7,4,Ward-7,No sanitation worker seen this week,,In Progress,Normal,2026-02-05 12:27:46,0,2026-02-03 12:27:46,
79,LGC-2026-00079,43,3,2,Ward-13,Road completely broken near bazaar,,In Progress,Normal,2025-10-04 15:54:26,0,2025-09-30 15:54:26,
80,LGC-2026-00080,45,8,4,Ward-6,Nullah blocked with garbage,uploads/complaint_80.jpg,Received,Normal,2025-12-04 18:11:07,0,2025-12-01 18:11:07,
81,LGC-2026-00081,10,2,1,Ward-3,Sewage water entering homes,,Resolved,High,2026-03-03 04:21:21,1,2026-02-28 04:21:21,2026-03-02 21:43:56
82,LGC-2026-00082,80,8,4,Ward-6,Open drain flooding the street,,In Progress,Normal,2025-11-01 15:01:29,0,2025-10-29 15:01:29,
83,LGC-2026-00083,76,7,4,Ward-1,Waste bin overflowing,uploads/complaint_83.jpg,Received,Normal,2026-03-19 00:43:21,0,2026-03-17 00:43:21,
84,LGC-2026-00084,37,3,2,Ward-2,Large pothole on main road,,Resolved,Normal,2026-05-01 20:17:37,1,2026-04-27 20:17:37,2026-05-04 21:19:36
85,LGC-2026-00085,6,7,4,Ward-8,No sanitation worker seen this week,uploads/complaint_85.jpg,In Progress,Normal,2025-11-15 02:31:08,0,2025-11-13 02:31:08,
86,LGC-2026-00086,14,1,1,Ward-13,Water tap not working for a week,uploads/complaint_86.jpg,In Progress,Normal,2025-10-05 18:00:16,0,2025-10-03 18:00:16,
87,LGC-2026-00087,57,4,2,Ward-9,Illegally parked trucks blocking road,uploads/complaint_87.jpg,Received,Normal,2026-04-30 19:47:54,0,2026-04-25 19:47:54,
88,LGC-2026-00088,44,3,2,Ward-11,Road cave-in near hospital,,Resolved,Normal,2025-09-25 08:04:55,1,2025-09-21 08:04:55,2025-09-22 03:16:48
89,LGC-2026-00089,50,5,3,Ward-5,Multiple lights off near park,,Closed,Normal,2026-04-24 01:34:43,0,2026-04-23 01:34:43,2026-04-24 20:00:44
90,LGC-2026-00090,40,8,4,Ward-11,Children at risk from open drain,,Resolved,CRITICAL,2025-10-24 01:54:59,1,2025-10-21 01:54:59,2025-10-22 23:00:09
91,LGC-2026-00091,43,5,3,Ward-14,No street light in our lane,,Received,Normal,2026-03-25 10:20:29,0,2026-03-24 10:20:29,
92,LGC-2026-00092,40,1,1,Ward-3,Low water pressure in entire street,,Closed,Normal,2026-01-13 17:10:34,0,2026-01-11 17:10:34,2026-01-13 02:10:07
93,LGC-2026-00093,38,2,1,Ward-14,Nali band ho gayi hai,,Resolved,High,2026-03-20 04:00:39,1,2026-03-17 04:00:39,2026-03-22 12:42:22
94,LGC-2026-00094,80,6,3,Ward-3,Transformer leaking oil,,Received,Normal,2026-01-27 07:17:01,0,2026-01-25 07:17:01,
95,LGC-2026-00095,22,5,3,Ward-12,Street light pole damaged,uploads/complaint_95.jpg,In Progress,Normal,2025-09-18 23:14:34,0,2025-09-17 23:14:34,
96,LGC-2026-00096,37,4,2,Ward-13,Unauthorized construction on green belt,,In Progress,Normal,2025-12-05 21:03:55,0,2025-11-30 21:03:55,
97,LGC-2026-00097,25,4,2,Ward-6,Illegally parked trucks blocking road,,In Progress,Normal,2026-02-24 02:39:55,0,2026-02-19 02:39:55,
98,LGC-2026-00098,21,5,3,Ward-14,No street light in our lane,,Received,Normal,2026-04-24 19:52:18,0,2026-04-23 19:52:18,
99,LGC-2026-00099,71,7,4,Ward-15,Garbage not collected for 5 days,uploads/complaint_99.jpg,Closed,Normal,2026-03-22 08:37:26,0,2026-03-20 08:37:26,2026-03-21 07:58:15
100,LGC-2026-00100,19,8,4,Ward-14,Children at risk from open drain,,Closed,Normal,2025-10-09 14:49:56,0,2025-10-06 14:49:56,2025-10-09 08:31:56
